# trial: trial_055.csv
# note: P3 trial 5: g 80, LED-guided arming, gyro-D, kvScale 0.235
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
2482,5.77,6.66,36.91,0.0,0.0,0.0,0,5004,0.57,-2.28,0.00,0.0,0.0,0.0,-0.3
2503,7.71,7.50,38.99,0.0,0.0,0.0,0,5004,0.63,-1.02,0.00,0.0,0.0,0.0,-0.3
2525,10.56,8.39,34.39,0.0,0.0,0.0,0,5004,0.77,0.59,0.00,0.0,0.0,0.0,-0.3
2546,10.97,9.17,26.87,0.0,0.0,0.0,0,5004,0.88,-1.39,0.00,0.0,0.0,0.0,-0.3
2568,10.72,9.80,22.36,0.0,0.0,0.0,0,5004,0.65,-3.83,0.00,0.0,0.0,0.0,-0.4
2589,11.05,10.29,17.06,0.0,0.0,0.0,0,5004,1.28,-3.75,0.00,0.0,0.0,0.0,-0.5
2611,10.74,10.66,13.78,0.0,0.0,0.0,0,5004,0.29,-0.67,0.00,0.0,0.0,0.0,-0.5
2632,10.96,10.97,10.21,0.0,0.0,0.0,0,5004,0.77,-1.28,0.00,0.0,0.0,0.0,-0.5
2654,9.94,11.15,11.90,0.0,0.0,0.0,0,5004,0.41,-1.96,0.00,0.0,0.0,0.0,-0.6
2675,9.92,11.40,16.90,0.0,0.0,0.0,0,5004,0.77,0.55,0.00,0.0,0.0,0.0,-0.6
2697,11.71,11.83,27.80,0.0,0.0,0.0,0,5000,-1.90,-3.04,0.00,0.0,0.0,0.0,-0.6
2718,13.08,12.32,27.33,0.0,0.0,0.0,0,5004,0.59,-1.39,0.00,0.0,0.0,0.0,-0.7
2740,13.81,12.99,24.75,0.0,0.0,0.0,0,5000,1.20,0.59,0.00,0.0,0.0,0.0,-0.6
2761,13.90,13.59,21.20,0.0,0.0,0.0,0,5000,1.30,-0.39,0.00,0.0,0.0,0.0,-0.7
# ARMING: hold upright ~2 s
2783,14.07,14.03,19.53,0.0,0.0,0.0,0,5000,0.31,-1.12,0.00,0.0,0.0,0.0,-0.7
2805,14.62,14.48,18.79,0.0,0.0,0.0,0,5000,0.88,0.84,0.00,0.0,0.0,0.0,-0.7
2827,15.65,14.92,15.39,0.0,0.0,0.0,0,5000,0.79,0.73,0.00,0.0,0.0,0.0,-0.7
2848,16.30,15.28,9.03,0.0,0.0,0.0,0,5004,0.51,-0.24,0.00,0.0,0.0,0.0,-0.7
2870,15.80,15.48,4.30,0.0,0.0,0.0,0,5000,0.22,-0.18,0.00,0.0,0.0,0.0,-0.7
2891,15.24,15.56,2.06,0.0,0.0,0.0,0,5000,0.20,-0.14,0.00,0.0,0.0,0.0,-0.7
2913,14.30,15.56,3.30,0.0,0.0,0.0,0,5000,-0.04,-0.59,0.00,0.0,0.0,0.0,-0.7
2934,14.81,15.61,6.91,0.0,0.0,0.0,0,5004,0.26,0.02,0.00,0.0,0.0,0.0,-0.7
2956,16.36,15.81,5.77,0.0,0.0,0.0,0,5000,0.49,0.86,0.00,0.0,0.0,0.0,-0.7
2977,16.17,15.93,1.96,0.0,0.0,0.0,0,5004,0.20,0.24,0.00,0.0,0.0,0.0,-0.7
2999,14.51,15.92,2.38,0.0,0.0,0.0,0,5004,0.10,-0.37,0.00,0.0,0.0,0.0,-0.7
3020,14.57,15.93,7.03,0.0,0.0,0.0,0,5000,0.16,-0.12,0.00,0.0,0.0,0.0,-0.7
3042,15.99,16.11,8.38,0.0,0.0,0.0,0,5000,0.20,-0.12,0.00,0.0,0.0,0.0,-0.7
3063,15.84,16.28,7.58,0.0,0.0,0.0,0,5000,0.33,-0.65,0.00,0.0,0.0,0.0,-0.7
3085,15.21,16.41,10.82,0.0,0.0,0.0,0,5004,0.26,-0.49,0.00,0.0,0.0,0.0,-0.7
3106,16.55,16.64,12.94,0.0,0.0,0.0,0,5004,0.35,0.26,0.00,0.0,0.0,0.0,-0.7
3128,16.72,16.92,11.99,0.0,0.0,0.0,0,5000,0.47,-0.22,0.00,0.0,0.0,0.0,-0.7
3149,17.52,17.19,11.05,0.0,0.0,0.0,0,5000,0.39,0.90,0.00,0.0,0.0,0.0,-0.7
3171,17.22,17.42,9.97,0.0,0.0,0.0,0,5004,0.41,0.20,0.00,0.0,0.0,0.0,-0.7
3192,17.07,17.63,10.60,0.0,0.0,0.0,0,5000,0.24,0.18,0.00,0.0,0.0,0.0,-0.7
3214,16.65,17.81,12.98,0.0,0.0,0.0,0,5004,0.26,-0.37,0.00,0.0,0.0,0.0,-0.7
3235,17.58,18.08,16.61,0.0,0.0,0.0,0,5000,0.39,0.53,0.00,0.0,0.0,0.0,-0.7
3257,19.08,18.47,15.94,0.0,0.0,0.0,0,5000,0.49,1.02,0.00,0.0,0.0,0.0,-0.6
3278,18.94,18.82,12.07,0.0,0.0,0.0,0,5000,0.33,-0.29,0.00,0.0,0.0,0.0,-0.6
3300,17.92,19.04,12.54,0.0,0.0,0.0,0,5000,0.12,-0.57,0.00,0.0,0.0,0.0,-0.7
3321,18.19,19.28,16.80,0.0,0.0,0.0,0,5000,0.29,0.06,0.00,0.0,0.0,0.0,-0.7
3343,20.13,19.67,17.65,0.0,0.0,0.0,0,5000,0.63,1.16,0.00,0.0,0.0,0.0,-0.6
3365,19.87,20.04,16.29,0.0,0.0,0.0,0,5004,0.45,-0.08,0.00,0.0,0.0,0.0,-0.6
3387,20.45,20.40,15.96,0.0,0.0,0.0,0,5000,0.31,0.02,0.00,0.0,0.0,0.0,-0.6
3408,20.73,20.74,15.78,0.0,0.0,0.0,0,5000,0.37,-0.12,0.00,0.0,0.0,0.0,-0.6
3430,21.44,21.10,14.43,0.0,0.0,0.0,0,5004,0.41,-0.06,0.00,0.0,0.0,0.0,-0.6
3451,21.16,21.39,13.86,0.0,0.0,0.0,0,5004,0.33,-0.14,0.00,0.0,0.0,0.0,-0.6
3473,22.32,21.70,12.62,0.0,0.0,0.0,0,5000,0.18,0.22,0.00,0.0,0.0,0.0,-0.6
3494,22.75,22.00,8.15,0.0,0.0,0.0,0,5004,0.26,0.06,0.00,0.0,0.0,0.0,-0.6
3516,22.40,22.17,4.75,0.0,0.0,0.0,0,5004,0.12,-0.75,0.00,0.0,0.0,0.0,-0.6
3537,22.00,22.27,3.61,0.0,0.0,0.0,0,5004,0.12,-0.02,0.00,0.0,0.0,0.0,-0.6
3559,21.41,22.31,4.50,0.0,0.0,0.0,0,5004,0.20,-0.22,0.00,0.0,0.0,0.0,-0.7
3580,21.93,22.39,5.54,0.0,0.0,0.0,0,5004,0.16,0.29,0.00,0.0,0.0,0.0,-0.7
3602,21.92,22.49,5.81,0.0,0.0,0.0,0,5004,0.26,0.06,0.00,0.0,0.0,0.0,-0.6
3623,23.21,22.61,5.12,0.0,0.0,0.0,0,5004,0.22,0.61,0.00,0.0,0.0,0.0,-0.6
3645,23.06,22.72,3.18,0.0,0.0,0.0,0,5004,0.18,0.59,0.00,0.0,0.0,0.0,-0.6
3666,22.32,22.77,1.96,0.0,0.0,0.0,0,5004,0.04,0.00,0.00,0.0,0.0,0.0,-0.6
3688,21.34,22.76,4.53,0.0,0.0,0.0,0,5004,-0.02,-0.61,0.00,0.0,0.0,0.0,-0.6
3709,22.00,22.82,9.56,0.0,0.0,0.0,0,5000,0.26,0.06,0.00,0.0,0.0,0.0,-0.6
3731,23.32,23.05,11.09,0.0,0.0,0.0,0,5004,0.33,0.67,0.00,0.0,0.0,0.0,-0.6
3752,23.38,23.31,8.68,0.0,0.0,0.0,0,5004,0.43,0.10,0.00,0.0,0.0,0.0,-0.6
3774,22.98,23.45,8.72,0.0,0.0,0.0,0,5004,0.04,-1.43,0.00,0.0,0.0,0.0,-0.6
3795,22.98,23.63,11.96,0.0,0.0,0.0,0,5000,0.53,-0.43,0.00,0.0,0.0,0.0,-0.7
3817,24.40,23.90,12.74,0.0,0.0,0.0,0,5004,0.47,0.22,0.00,0.0,0.0,0.0,-0.6
3838,25.11,24.21,7.95,0.0,0.0,0.0,0,5004,0.29,-0.35,0.00,0.0,0.0,0.0,-0.7
3860,23.78,24.35,6.18,0.0,0.0,0.0,0,5000,0.08,-0.49,0.00,0.0,0.0,0.0,-0.7
3881,24.06,24.46,7.58,0.0,0.0,0.0,0,5004,0.20,-0.04,0.00,0.0,0.0,0.0,-0.7
3903,25.18,24.65,6.20,0.0,0.0,0.0,0,5000,0.33,0.82,0.00,0.0,0.0,0.0,-0.7
3924,24.93,24.79,3.00,0.0,0.0,0.0,0,5000,0.20,-0.10,0.00,0.0,0.0,0.0,-0.7
3946,23.88,24.82,3.32,0.0,0.0,0.0,0,5004,0.06,-0.47,0.00,0.0,0.0,0.0,-0.7
3968,24.33,24.87,5.69,0.0,0.0,0.0,0,5000,0.04,0.02,0.00,0.0,0.0,0.0,-0.7
3989,25.38,25.01,5.42,0.0,0.0,0.0,0,5004,0.10,-0.24,0.00,0.0,0.0,0.0,-0.7
4011,26.31,25.16,1.45,0.0,0.0,0.0,0,5000,0.14,0.20,0.00,0.0,0.0,0.0,-0.7
4032,25.68,25.20,-2.83,0.0,0.0,0.0,0,5000,-0.04,-0.39,0.00,0.0,0.0,0.0,-0.7
4054,24.81,25.11,-3.59,0.0,0.0,0.0,0,5000,-0.12,-0.45,0.00,0.0,0.0,0.0,-0.7
4075,24.19,25.00,-1.88,0.0,0.0,0.0,0,5004,-0.20,-0.51,0.00,0.0,0.0,0.0,-0.7
4097,25.10,24.97,-1.59,0.0,0.0,0.0,0,5000,0.08,0.14,0.00,0.0,0.0,0.0,-0.7
4118,25.50,24.96,-5.50,0.0,0.0,0.0,0,5004,0.00,0.04,0.00,0.0,0.0,0.0,-0.7
4140,25.02,24.81,-8.99,0.0,0.0,0.0,0,5004,-0.49,-0.49,0.00,0.0,0.0,0.0,-0.7
4161,23.51,24.58,-8.09,0.0,0.0,0.0,0,5000,-0.39,-0.47,0.00,0.0,0.0,0.0,-0.7
4183,23.67,24.38,-4.57,0.0,0.0,0.0,0,5000,-0.22,-0.53,0.00,0.0,0.0,0.0,-0.7
4204,23.53,24.27,-1.77,0.0,0.0,0.0,0,5000,-0.08,0.12,0.00,0.0,0.0,0.0,-0.7
4226,23.68,24.22,-1.12,0.0,0.0,0.0,0,5004,-0.02,-0.20,0.00,0.0,0.0,0.0,-0.7
4247,23.69,24.17,0.41,0.0,0.0,0.0,0,5000,-0.08,-0.47,0.00,0.0,0.0,0.0,-0.7
4269,23.71,24.17,1.96,0.0,0.0,0.0,0,5004,-0.26,-0.57,0.00,0.0,0.0,0.0,-0.7
4290,24.55,24.20,2.59,0.0,0.0,0.0,0,5004,-0.08,0.12,0.00,0.0,0.0,0.0,-0.7
4312,23.66,24.24,2.85,0.0,0.0,0.0,0,5004,-0.14,-0.59,0.00,0.0,0.0,0.0,-0.7
4333,23.92,24.29,4.71,0.0,0.0,0.0,0,5004,-0.02,-0.20,0.00,0.0,0.0,0.0,-0.8
4355,24.74,24.40,5.52,0.0,0.0,0.0,0,5000,0.16,-0.31,0.00,0.0,0.0,0.0,-0.8
4376,24.36,24.52,5.40,0.0,0.0,0.0,0,5000,0.00,-0.57,0.00,0.0,0.0,0.0,-0.8
4398,23.89,24.61,7.79,0.0,0.0,0.0,0,5004,-0.06,-0.84,0.00,0.0,0.0,0.0,-0.8
4419,25.83,24.77,11.86,0.0,0.0,0.0,0,5004,-0.79,-0.20,0.00,0.0,0.0,0.0,-0.8
4441,27.34,25.20,16.65,0.0,0.0,0.0,0,5004,-2.91,-6.56,0.00,0.0,0.0,0.0,-0.9
4462,23.87,25.51,11.96,0.0,0.0,0.0,0,5000,-1.88,-8.64,0.00,0.0,0.0,0.0,-1.1
4485,24.28,25.60,11.39,0.0,0.0,0.0,0,5004,-0.12,-0.86,0.00,0.0,0.0,0.0,-1.2
4506,25.45,25.83,15.72,0.0,0.0,0.0,0,5004,0.35,-0.31,0.00,0.0,0.0,0.0,-1.2
4528,27.49,26.21,16.16,0.0,0.0,0.0,0,5004,0.39,-0.22,0.00,0.0,0.0,0.0,-1.2
4549,28.97,26.71,13.72,0.0,0.0,0.0,0,5004,-1.35,-3.36,0.00,0.0,0.0,0.0,-1.2
4571,29.87,27.24,14.00,0.0,0.0,0.0,0,5004,-4.53,-13.60,0.00,0.0,0.0,0.0,-1.4
4592,28.82,27.77,15.98,0.0,0.0,0.0,0,5004,-7.17,-23.54,0.00,0.0,0.0,0.0,-1.9
4614,24.98,27.85,5.42,0.0,0.0,0.0,0,5000,-7.83,-21.06,0.00,0.0,0.0,0.0,-2.3
4635,26.71,27.73,-0.33,0.0,0.0,0.0,0,5000,-1.43,-3.51,0.00,0.0,0.0,0.0,-2.6
4657,27.40,27.55,-0.41,0.0,0.0,0.0,0,5000,-0.33,0.86,0.00,0.0,0.0,0.0,-2.6
4678,27.88,27.58,1.18,0.0,0.0,0.0,0,5000,0.10,0.92,0.00,0.0,0.0,0.0,-2.6
4700,28.08,27.66,-0.41,0.0,0.0,0.0,0,5004,0.29,0.37,0.00,0.0,0.0,0.0,-2.5
4721,28.58,27.66,-4.24,0.0,0.0,0.0,0,5000,0.20,0.69,0.00,0.0,0.0,0.0,-2.5
4743,29.33,27.59,-9.64,0.0,0.0,0.0,0,5004,0.10,1.59,0.00,0.0,0.0,0.0,-2.5
4764,27.27,27.37,-13.96,0.0,0.0,0.0,0,5000,1.79,2.85,0.00,0.0,0.0,0.0,-2.4
4786,26.10,26.99,-12.39,0.0,0.0,0.0,0,5000,-0.71,-0.10,0.00,0.0,0.0,0.0,-2.4
4808,24.36,26.73,-6.44,0.0,0.0,0.0,0,5000,-0.24,-0.41,0.00,0.0,0.0,0.0,-2.4
4830,25.92,26.53,-1.20,0.0,0.0,0.0,0,5000,-0.10,-0.51,0.00,0.0,0.0,0.0,-2.4
4851,26.92,26.49,-0.16,0.0,0.0,0.0,0,5000,-0.65,0.22,0.00,0.0,0.0,0.0,-2.4
4873,27.69,26.57,-3.40,0.0,0.0,0.0,0,5000,0.55,1.32,0.00,0.0,0.0,0.0,-2.4
4894,27.01,26.47,-7.95,0.0,0.0,0.0,0,5000,-0.29,-0.49,0.00,0.0,0.0,0.0,-2.4
4916,25.59,26.28,-8.60,0.0,0.0,0.0,0,5004,-0.37,-0.35,0.00,0.0,0.0,0.0,-2.4
4937,26.43,26.09,-7.56,0.0,0.0,0.0,0,5004,-0.08,0.16,0.00,0.0,0.0,0.0,-2.4
4959,26.86,25.96,-10.01,0.0,0.0,0.0,0,5000,-0.22,0.71,0.00,0.0,0.0,0.0,-2.4
4980,26.12,25.77,-13.19,0.0,0.0,0.0,0,5000,-0.10,0.61,0.00,0.0,0.0,0.0,-2.4
5002,25.17,25.46,-14.35,0.0,0.0,0.0,0,5004,-0.55,-0.04,0.00,0.0,0.0,0.0,-2.4
5023,24.80,25.13,-12.86,0.0,0.0,0.0,0,5004,-0.47,0.12,0.00,0.0,0.0,0.0,-2.4
5045,24.70,24.86,-12.13,0.0,0.0,0.0,0,5000,-0.35,-0.31,0.00,0.0,0.0,0.0,-2.4
5066,25.95,24.65,-14.90,0.0,0.0,0.0,0,5000,-0.37,0.14,0.00,0.0,0.0,0.0,-2.4
5088,25.71,24.35,-20.57,0.0,0.0,0.0,0,5000,-0.47,0.57,0.00,0.0,0.0,0.0,-2.4
5109,24.99,23.90,-26.46,0.0,0.0,0.0,0,5000,-0.92,-0.37,0.00,0.0,0.0,0.0,-2.4
5131,24.25,23.36,-31.98,0.0,0.0,0.0,0,5004,-0.88,0.45,0.00,0.0,0.0,0.0,-2.4
5153,21.87,22.63,-33.35,0.0,0.0,0.0,0,5000,-0.94,0.18,0.00,0.0,0.0,0.0,-2.4
5175,18.19,21.79,-25.30,0.0,0.0,0.0,0,5004,-0.63,0.20,0.00,0.0,0.0,0.0,-2.4
5196,16.46,21.09,-7.44,0.0,0.0,0.0,0,5000,-0.33,0.84,0.00,0.0,0.0,0.0,-2.4
5218,19.71,20.94,5.48,0.0,0.0,0.0,0,5000,0.10,0.14,0.00,0.0,0.0,0.0,-2.3
5239,21.40,21.08,7.93,0.0,0.0,0.0,0,5004,0.12,-0.94,0.00,0.0,0.0,0.0,-2.4
5261,21.49,21.29,8.72,0.0,0.0,0.0,0,5004,0.24,0.65,0.00,0.0,0.0,0.0,-2.4
5282,21.10,21.47,10.50,0.0,0.0,0.0,0,5000,0.41,-0.22,0.00,0.0,0.0,0.0,-2.4
5304,21.28,21.68,13.88,0.0,0.0,0.0,0,5000,0.20,-0.26,0.00,0.0,0.0,0.0,-2.4
5325,23.09,22.03,13.82,0.0,0.0,0.0,0,5000,0.20,-0.35,0.00,0.0,0.0,0.0,-2.4
5347,23.80,22.40,10.05,0.0,0.0,0.0,0,5000,0.20,0.06,0.00,0.0,0.0,0.0,-2.4
5368,24.11,22.66,4.75,0.0,0.0,0.0,0,5000,0.08,-0.02,0.00,0.0,0.0,0.0,-2.4
5390,24.18,22.79,-0.59,0.0,0.0,0.0,0,5000,-0.04,0.10,0.00,0.0,0.0,0.0,-2.4
5411,23.85,22.80,-6.16,0.0,0.0,0.0,0,5004,-0.14,0.04,0.00,0.0,0.0,0.0,-2.4
5433,23.28,22.68,-10.35,0.0,0.0,0.0,0,5004,-0.26,-0.12,0.00,0.0,0.0,0.0,-2.4
5454,21.67,22.43,-10.50,0.0,0.0,0.0,0,5004,-0.29,-0.10,0.00,0.0,0.0,0.0,-2.4
5476,20.07,22.13,-4.75,0.0,0.0,0.0,0,5004,-0.37,-0.39,0.00,0.0,0.0,0.0,-2.4
5497,19.42,21.96,6.36,0.0,0.0,0.0,0,5000,0.10,-0.20,0.00,0.0,0.0,0.0,-2.4
5519,22.63,22.13,13.68,0.0,0.0,0.0,0,5004,0.65,0.98,0.00,0.0,0.0,0.0,-2.4
5540,23.77,22.51,10.56,0.0,0.0,0.0,0,5004,0.37,-0.08,0.00,0.0,0.0,0.0,-2.4
5563,23.88,22.79,4.83,0.0,0.0,0.0,0,5004,0.29,-0.04,0.00,0.0,0.0,0.0,-2.4
5584,23.56,22.90,0.55,0.0,0.0,0.0,0,5000,-0.02,-0.16,0.00,0.0,0.0,0.0,-2.4
5606,23.39,22.92,-1.77,0.0,0.0,0.0,0,5000,-0.04,-0.16,0.00,0.0,0.0,0.0,-2.4
5627,22.79,22.89,-3.02,0.0,0.0,0.0,0,5000,-0.16,0.10,0.00,0.0,0.0,0.0,-2.4
5649,22.46,22.81,-1.85,0.0,0.0,0.0,0,5004,-0.08,0.06,0.00,0.0,0.0,0.0,-2.4
5670,22.29,22.77,0.67,0.0,0.0,0.0,0,5004,-0.12,0.00,0.00,0.0,0.0,0.0,-2.4
5692,23.53,22.81,0.04,0.0,0.0,0.0,0,5000,0.10,0.06,0.00,0.0,0.0,0.0,-2.4
5713,24.13,22.85,-4.53,0.0,0.0,0.0,0,5004,0.02,0.10,0.00,0.0,0.0,0.0,-2.4
5735,23.01,22.75,-8.54,0.0,0.0,0.0,0,5000,-0.26,-0.10,0.00,0.0,0.0,0.0,-2.4
5756,21.63,22.53,-7.50,0.0,0.0,0.0,0,5000,-0.29,-0.20,0.00,0.0,0.0,0.0,-2.4
5778,20.58,22.32,-2.45,0.0,0.0,0.0,0,5000,-0.26,-0.65,0.00,0.0,0.0,0.0,-2.4
5799,21.35,22.24,3.87,0.0,0.0,0.0,0,5000,0.14,0.61,0.00,0.0,0.0,0.0,-2.4
5821,22.38,22.34,5.16,0.0,0.0,0.0,0,5000,0.24,0.43,0.00,0.0,0.0,0.0,-2.4
5842,23.52,22.49,2.41,0.0,0.0,0.0,0,5004,0.10,0.06,0.00,0.0,0.0,0.0,-2.4
5864,23.44,22.57,-2.45,0.0,0.0,0.0,0,5000,0.00,0.20,0.00,0.0,0.0,0.0,-2.4
5885,21.62,22.48,-2.94,0.0,0.0,0.0,0,5000,-0.02,-0.22,0.00,0.0,0.0,0.0,-2.4
5907,19.00,22.32,7.05,0.0,0.0,0.0,0,5000,0.26,-0.37,0.00,0.0,0.0,0.0,-2.4
5928,20.71,22.42,19.00,0.0,0.0,0.0,0,5000,0.84,0.10,0.00,0.0,0.0,0.0,-2.4
5950,22.87,22.85,23.81,0.0,0.0,0.0,0,5000,0.67,-0.22,0.00,0.0,0.0,0.0,-2.4
5971,24.48,23.42,23.46,0.0,0.0,0.0,0,5000,0.67,0.10,0.00,0.0,0.0,0.0,-2.4
5993,25.63,23.98,18.85,0.0,0.0,0.0,0,5000,0.59,-0.02,0.00,0.0,0.0,0.0,-2.4
6014,25.98,24.44,13.00,0.0,0.0,0.0,0,5000,0.26,-0.10,0.00,0.0,0.0,0.0,-2.4
6036,25.75,24.74,7.73,0.0,0.0,0.0,0,5004,0.20,-0.06,0.00,0.0,0.0,0.0,-2.4
6057,26.03,24.93,2.61,0.0,0.0,0.0,0,5004,0.02,-0.06,0.00,0.0,0.0,0.0,-2.4
6079,25.43,24.99,-0.94,0.0,0.0,0.0,0,5004,-0.10,-0.45,0.00,0.0,0.0,0.0,-2.4
6100,23.74,24.93,0.04,0.0,0.0,0.0,0,5000,0.00,0.02,0.00,0.0,0.0,0.0,-2.4
6122,23.63,24.88,5.08,0.0,0.0,0.0,0,5000,0.12,0.43,0.00,0.0,0.0,0.0,-2.4
6144,24.46,24.98,8.15,0.0,0.0,0.0,0,5004,0.16,-0.24,0.00,0.0,0.0,0.0,-2.4
6165,25.62,25.17,8.42,0.0,0.0,0.0,0,5004,0.20,0.20,0.00,0.0,0.0,0.0,-2.4
6187,26.57,25.39,4.32,0.0,0.0,0.0,0,5000,0.14,0.00,0.00,0.0,0.0,0.0,-2.4
6208,26.87,25.52,-1.14,0.0,0.0,0.0,0,5004,0.04,0.08,0.00,0.0,0.0,0.0,-2.4
6230,26.36,25.52,-6.89,0.0,0.0,0.0,0,5004,-0.29,-0.06,0.00,0.0,0.0,0.0,-2.4
6251,25.74,25.36,-10.70,0.0,0.0,0.0,0,5004,-0.18,-0.06,0.00,0.0,0.0,0.0,-2.4
6273,24.19,25.08,-11.54,0.0,0.0,0.0,0,5000,-0.39,-0.35,0.00,0.0,0.0,0.0,-2.4
6294,23.82,24.79,-8.76,0.0,0.0,0.0,0,5004,-0.12,0.12,0.00,0.0,0.0,0.0,-2.4
6316,23.12,24.55,-4.06,0.0,0.0,0.0,0,5004,-0.12,0.29,0.00,0.0,0.0,0.0,-2.4
6337,21.89,24.39,4.85,0.0,0.0,0.0,0,5000,0.12,0.08,0.00,0.0,0.0,0.0,-2.4
6359,21.19,24.41,17.18,0.0,0.0,0.0,0,5000,0.31,-0.16,0.00,0.0,0.0,0.0,-2.4
6380,19.70,24.65,37.85,0.0,0.0,0.0,0,5000,0.71,-1.90,0.00,0.0,0.0,0.0,-2.4
6402,24.24,25.48,54.04,0.0,0.0,0.0,0,5000,1.18,0.57,0.00,0.0,0.0,0.0,-2.4
6424,27.63,26.71,58.81,0.0,0.0,0.0,0,5000,1.49,0.98,0.00,0.0,0.0,0.0,-2.4
6446,29.88,28.09,56.60,0.0,0.0,0.0,0,5000,1.77,-0.63,0.00,0.0,0.0,0.0,-2.4
6467,30.56,29.35,52.53,0.0,0.0,0.0,0,5004,1.98,-1.71,0.00,0.0,0.0,0.0,-2.4
6489,31.53,30.51,50.04,0.0,0.0,0.0,0,5004,1.98,-1.67,0.00,0.0,0.0,0.0,-2.5
6510,33.72,31.67,47.84,0.0,0.0,0.0,0,5004,2.18,0.39,0.00,0.0,0.0,0.0,-2.5
6532,48.68,33.21,0.59,0.0,0.0,0.0,0,5000,3.97,9.95,0.00,0.0,0.0,0.0,-2.2
6553,22.39,32.65,-16.00,0.0,0.0,0.0,0,5000,-2.77,-4.55,0.00,0.0,0.0,0.0,-2.3
6575,37.91,32.54,-4.24,0.0,0.0,0.0,0,5004,-2.67,-5.87,0.00,0.0,0.0,0.0,-2.5
6596,33.03,32.30,-10.80,0.0,0.0,0.0,0,5000,-0.61,2.22,0.00,0.0,0.0,0.0,-2.4
6618,31.74,32.12,-11.50,0.0,0.0,0.0,0,5000,0.04,-0.51,0.00,0.0,0.0,0.0,-2.5
6639,32.16,31.88,-14.23,0.0,0.0,0.0,0,5004,-0.79,0.49,0.00,0.0,0.0,0.0,-2.4
6661,31.49,31.54,-16.41,0.0,0.0,0.0,0,5004,-0.98,-0.12,0.00,0.0,0.0,0.0,-2.4
6682,31.02,31.16,-17.24,0.0,0.0,0.0,0,5004,-0.61,0.84,0.00,0.0,0.0,0.0,-2.4
6705,30.15,30.76,-17.16,0.0,0.0,0.0,0,5000,-0.77,0.45,0.00,0.0,0.0,0.0,-2.4
6726,30.07,30.37,-16.31,0.0,0.0,0.0,0,5004,-0.55,-0.14,0.00,0.0,0.0,0.0,-2.4
6748,29.87,30.01,-16.14,0.0,0.0,0.0,0,5004,-0.55,0.24,0.00,0.0,0.0,0.0,-2.4
6769,28.94,29.63,-15.70,0.0,0.0,0.0,0,5000,-0.47,0.31,0.00,0.0,0.0,0.0,-2.4
6791,28.23,29.26,-12.98,0.0,0.0,0.0,0,5004,-0.49,0.14,0.00,0.0,0.0,0.0,-2.4
6812,28.65,28.99,-10.62,0.0,0.0,0.0,0,5000,-0.18,0.29,0.00,0.0,0.0,0.0,-2.4
6834,28.21,28.74,-9.01,0.0,0.0,0.0,0,5004,-0.04,0.06,0.00,0.0,0.0,0.0,-2.4
6855,27.91,28.52,-6.52,0.0,0.0,0.0,0,5004,-0.16,-0.12,0.00,0.0,0.0,0.0,-2.4
6877,27.78,28.37,-3.16,0.0,0.0,0.0,0,5004,-0.14,0.04,0.00,0.0,0.0,0.0,-2.4
6898,28.13,28.31,-0.98,0.0,0.0,0.0,0,5004,0.02,0.16,0.00,0.0,0.0,0.0,-2.4
6920,27.89,28.27,0.45,0.0,0.0,0.0,0,5000,0.00,-0.08,0.00,0.0,0.0,0.0,-2.4
6941,28.34,28.27,1.73,0.0,0.0,0.0,0,5000,-0.06,0.06,0.00,0.0,0.0,0.0,-2.4
6963,28.37,28.32,1.59,0.0,0.0,0.0,0,5004,0.06,0.06,0.00,0.0,0.0,0.0,-2.4
6984,28.46,28.36,1.63,0.0,0.0,0.0,0,5004,0.00,-0.04,0.00,0.0,0.0,0.0,-2.4
7006,28.41,28.40,1.57,0.0,0.0,0.0,0,5000,-0.04,0.02,0.00,0.0,0.0,0.0,-2.4
7027,28.64,28.44,1.53,0.0,0.0,0.0,0,5000,-0.04,0.06,0.00,0.0,0.0,0.0,-2.4
7049,28.70,28.48,1.35,0.0,0.0,0.0,0,5000,0.08,0.12,0.00,0.0,0.0,0.0,-2.4
7070,28.85,28.52,1.06,0.0,0.0,0.0,0,5000,0.02,-0.02,0.00,0.0,0.0,0.0,-2.4
7092,28.90,28.55,0.94,0.0,0.0,0.0,0,5000,0.04,-0.02,0.00,0.0,0.0,0.0,-2.4
7113,28.58,28.58,0.79,0.0,0.0,0.0,0,5004,0.00,0.08,0.00,0.0,0.0,0.0,-2.4
7135,28.59,28.60,0.71,0.0,0.0,0.0,0,5004,0.00,-0.02,0.00,0.0,0.0,0.0,-2.4
7156,28.66,28.63,0.57,0.0,0.0,0.0,0,5000,0.02,-0.02,0.00,0.0,0.0,0.0,-2.4
7178,28.72,28.64,0.49,0.0,0.0,0.0,0,5000,0.04,0.02,0.00,0.0,0.0,0.0,-2.4
7199,28.67,28.65,0.29,0.0,0.0,0.0,0,5000,0.00,0.00,0.00,0.0,0.0,0.0,-2.4
7221,28.71,28.67,-0.06,0.0,0.0,0.0,0,5000,0.00,0.04,0.00,0.0,0.0,0.0,-2.4
7242,28.75,28.67,-0.08,0.0,0.0,0.0,0,5004,-0.02,-0.08,0.00,0.0,0.0,0.0,-2.4
