# trial: trial_011.csv
# date: 2026-08-01T17:40:29
# note: bench test 4b-v2: right wheel deadband, 14 counted bursts 20-72 step 4
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� old bias kept, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=0/0
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us
1519,-1.98,-2.19,-2.20,0.0,0.0,0.0,0,5000
1540,-2.22,-2.23,-2.17,0.0,0.0,0.0,0,5004
1559,-2.14,-2.27,-2.21,0.0,0.0,0.0,0,5004
1580,-2.04,-2.31,-2.12,0.0,0.0,0.0,0,5000
1599,-2.03,-2.35,-2.14,0.0,0.0,0.0,0,5000
1619,-1.86,-2.39,-2.18,0.0,0.0,0.0,0,5004
1639,-1.96,-2.43,-2.18,0.0,0.0,0.0,0,5004
1659,-2.20,-2.46,-2.14,0.0,0.0,0.0,0,5004
1680,-1.94,-2.50,-2.24,0.0,0.0,0.0,0,5004
1699,-2.16,-2.53,-2.14,0.0,0.0,0.0,0,5000
1720,-2.08,-2.55,-2.18,0.0,0.0,0.0,0,5000
1739,-1.98,-2.58,-2.27,0.0,0.0,0.0,0,5004
1760,-2.04,-2.61,-2.15,0.0,0.0,0.0,0,5000
1779,-2.11,-2.63,-2.18,0.0,0.0,0.0,0,5004
1800,-1.96,-2.65,-2.17,0.0,0.0,0.0,0,5000
1819,-2.05,-2.67,-2.18,0.0,0.0,0.0,0,5000
1840,-2.05,-2.69,-2.21,0.0,0.0,0.0,0,5004
1859,-2.01,-2.70,-2.20,0.0,0.0,0.0,0,5004
1880,-2.06,-2.72,-2.20,0.0,0.0,0.0,0,5000
1899,-2.23,-2.73,-2.18,0.0,0.0,0.0,0,5004
1920,-1.95,-2.74,-2.21,0.0,0.0,0.0,0,5004
1940,-1.98,-2.74,-2.21,0.0,0.0,0.0,0,5004
1959,-2.13,-2.74,-2.24,0.0,0.0,0.0,0,5004
1980,-1.90,-2.75,-2.15,0.0,0.0,0.0,0,5000
1999,-1.99,-2.75,-2.11,0.0,0.0,0.0,0,5000
2020,-1.93,-2.74,-2.18,0.0,0.0,0.0,0,5000
2039,-2.12,-2.74,-2.24,0.0,0.0,0.0,0,5000
2060,-1.74,-2.74,-2.23,0.0,0.0,0.0,0,5000
2079,-1.96,-2.73,-2.15,0.0,0.0,0.0,0,5004
2100,-2.00,-2.72,-2.14,0.0,0.0,0.0,0,5004
2119,-1.91,-2.72,-2.21,0.0,0.0,0.0,0,5000
2140,-2.05,-2.71,-2.14,0.0,0.0,0.0,0,5004
2159,-1.83,-2.70,-2.18,0.0,0.0,0.0,0,5000
2180,-2.02,-2.69,-2.20,0.0,0.0,0.0,0,5004
2200,-2.09,-2.68,-2.20,0.0,0.0,0.0,0,5000
2220,-2.02,-2.68,-2.15,0.0,0.0,0.0,0,5000
2240,-1.88,-2.66,-2.08,0.0,0.0,0.0,0,5000
2259,-2.00,-2.65,-2.12,0.0,0.0,0.0,0,5000
2280,-2.17,-2.64,-2.15,0.0,0.0,0.0,0,5000
2299,-2.15,-2.63,-2.14,0.0,0.0,0.0,0,5000
2320,-2.16,-2.63,-2.17,0.0,0.0,0.0,0,5004
2339,-1.81,-2.61,-2.27,0.0,0.0,0.0,0,5004
2360,-2.13,-2.60,-2.12,0.0,0.0,0.0,0,5000
2379,-2.00,-2.59,-2.20,0.0,0.0,0.0,0,5000
2400,-1.98,-2.57,-2.18,0.0,0.0,0.0,0,5000
2419,-1.85,-2.55,-2.20,0.0,0.0,0.0,0,5004
2440,-2.03,-2.53,-2.17,0.0,0.0,0.0,0,5000
2460,-2.02,-2.51,-2.11,0.0,0.0,0.0,0,5004
2480,-1.89,-2.50,-2.18,0.0,0.0,0.0,0,5004
2500,-2.09,-2.49,-2.14,0.0,0.0,0.0,0,5000
2520,-2.07,-2.48,-2.20,0.0,0.0,0.0,0,5000
2540,-2.17,-2.47,-2.12,0.0,0.0,0.0,0,5000
2560,-1.81,-2.46,-2.21,0.0,0.0,0.0,0,5000
2580,-1.95,-2.44,-2.17,0.0,0.0,0.0,0,5004
2599,-2.15,-2.43,-2.18,0.0,0.0,0.0,0,5000
2620,-2.12,-2.43,-2.21,0.0,0.0,0.0,0,5004
2639,-1.94,-2.41,-2.20,0.0,0.0,0.0,0,5000
2660,-2.28,-2.40,-2.21,0.0,0.0,0.0,0,5004
2679,-2.00,-2.39,-2.14,0.0,0.0,0.0,0,5000
2700,-1.90,-2.37,-2.14,0.0,0.0,0.0,0,5004
2719,-2.12,-2.36,-2.18,0.0,0.0,0.0,0,5004
2740,-2.04,-2.35,-2.17,0.0,0.0,0.0,0,5000
2760,-2.03,-2.34,-2.17,0.0,0.0,0.0,0,5000
2780,-1.92,-2.33,-2.24,0.0,0.0,0.0,0,5000
2800,-1.86,-2.31,-2.14,0.0,0.0,0.0,0,5000
2820,-2.03,-2.30,-2.29,0.0,0.0,0.0,0,5000
2840,-1.99,-2.29,-2.17,0.0,0.0,0.0,0,5004
2860,-2.00,-2.28,-2.24,0.0,0.0,0.0,0,5000
2880,-1.87,-2.26,-2.12,0.0,0.0,0.0,0,5004
2899,-2.03,-2.24,-2.20,0.0,0.0,0.0,0,5000
2920,-2.05,-2.23,-2.23,0.0,0.0,0.0,0,5000
2939,-1.95,-2.22,-2.15,0.0,0.0,0.0,0,5000
2960,-1.94,-2.21,-2.18,0.0,0.0,0.0,0,5004
2979,-1.93,-2.20,-2.18,0.0,0.0,0.0,0,5000
3000,-2.06,-2.19,-2.20,0.0,0.0,0.0,0,5004
3020,-1.90,-2.18,-2.26,0.0,0.0,0.0,0,5000
3040,-1.91,-2.17,-2.15,0.0,0.0,0.0,0,5000
3060,-2.05,-2.17,-2.27,0.0,0.0,0.0,0,5000
3080,-2.15,-2.17,-2.11,0.0,0.0,0.0,0,5000
3100,-1.91,-2.16,-2.17,0.0,0.0,0.0,0,5000
3120,-1.88,-2.16,-2.18,0.0,0.0,0.0,0,5004
3140,-2.00,-2.16,-2.21,0.0,0.0,0.0,0,5008
3160,-1.95,-2.16,-2.17,0.0,0.0,0.0,0,5000
3180,-1.88,-2.15,-2.14,0.0,0.0,0.0,0,5004
3200,-2.26,-2.16,-2.17,0.0,0.0,0.0,0,5004
3220,-2.05,-2.16,-2.18,0.0,0.0,0.0,0,5004
3239,-1.91,-2.15,-2.20,0.0,0.0,0.0,0,5000
3260,-1.96,-2.14,-2.14,0.0,0.0,0.0,0,5000
3280,-1.86,-2.13,-2.18,0.0,0.0,0.0,0,5000
3300,-1.87,-2.12,-2.20,0.0,0.0,0.0,0,5004
3320,-2.11,-2.12,-2.14,0.0,0.0,0.0,0,5004
3340,-2.05,-2.12,-2.17,0.0,0.0,0.0,0,5004
3360,-2.10,-2.12,-2.21,0.0,0.0,0.0,0,5004
3380,-2.02,-2.12,-2.14,0.0,0.0,0.0,0,5004
3400,-2.06,-2.11,-2.24,0.0,0.0,0.0,0,5004
3420,-1.99,-2.11,-2.20,0.0,0.0,0.0,0,5000
3440,-1.96,-2.09,-2.20,0.0,0.0,0.0,0,5000
3460,-1.96,-2.09,-2.18,0.0,0.0,0.0,0,5004
3480,-2.03,-2.09,-2.18,0.0,0.0,0.0,0,5004
3500,-2.06,-2.09,-2.20,0.0,0.0,0.0,0,5000
3520,-1.90,-2.09,-2.14,0.0,0.0,0.0,0,5004
3540,-2.15,-2.10,-2.17,0.0,0.0,0.0,0,5000
3560,-2.14,-2.09,-2.12,0.0,0.0,0.0,0,5004
3580,-1.96,-2.09,-2.21,0.0,0.0,0.0,0,5004
3600,-2.00,-2.08,-2.17,0.0,0.0,0.0,0,5000
3620,-1.86,-2.08,-2.15,0.0,0.0,0.0,0,5004
3640,-2.06,-2.08,-2.18,0.0,0.0,0.0,0,5004
3660,-2.14,-2.08,-2.09,0.0,0.0,0.0,0,5000
3680,-2.18,-2.09,-2.18,0.0,0.0,0.0,0,5004
3700,-2.06,-2.09,-2.18,0.0,0.0,0.0,0,5004
3720,-1.91,-2.09,-2.14,0.0,0.0,0.0,0,5004
3740,-2.19,-2.09,-2.23,0.0,0.0,0.0,0,5004
3761,-2.09,-2.09,-2.21,0.0,0.0,0.0,0,5004
3780,-1.89,-2.09,-2.17,0.0,0.0,0.0,0,5000
3801,-2.17,-2.09,-2.18,0.0,0.0,0.0,0,5000
3820,-2.15,-2.09,-2.20,0.0,0.0,0.0,0,5000
3841,-1.91,-2.08,-2.20,0.0,0.0,0.0,0,5000
3860,-2.11,-2.08,-2.21,0.0,0.0,0.0,0,5000
3880,-1.87,-2.07,-2.14,0.0,0.0,0.0,0,5004
3900,-1.93,-2.07,-2.17,0.0,0.0,0.0,0,5000
3920,-2.11,-2.07,-2.17,0.0,0.0,0.0,0,5004
3940,-2.13,-2.07,-2.17,0.0,0.0,0.0,0,5004
3960,-2.11,-2.07,-2.14,0.0,0.0,0.0,0,5000
3980,-1.93,-2.06,-2.17,0.0,0.0,0.0,0,5000
4000,-1.97,-2.05,-2.26,0.0,0.0,0.0,0,5000
4020,-1.95,-2.04,-2.15,0.0,0.0,0.0,0,5000
4040,-2.05,-2.05,-2.17,0.0,0.0,0.0,0,5004
4061,-2.35,-2.05,-2.18,0.0,0.0,0.0,0,5004
4080,-2.02,-2.05,-2.14,0.0,0.0,0.0,0,5000
4101,-2.06,-2.06,-2.17,0.0,0.0,0.0,0,5004
4120,-1.95,-2.06,-2.14,0.0,0.0,0.0,0,5000
4141,-2.19,-2.06,-2.17,0.0,0.0,0.0,0,5000
4160,-2.09,-2.07,-2.15,0.0,0.0,0.0,0,5004
4180,-1.98,-2.06,-2.21,0.0,0.0,0.0,0,5004
4200,-2.05,-2.06,-2.21,0.0,0.0,0.0,0,5000
4220,-1.96,-2.05,-2.15,0.0,0.0,0.0,0,5004
4240,-2.04,-2.05,-2.14,0.0,0.0,0.0,0,5004
4260,-1.92,-2.05,-2.23,0.0,0.0,0.0,0,5000
4280,-1.91,-2.05,-2.17,0.0,0.0,0.0,0,5000
4300,-2.03,-2.05,-2.18,0.0,0.0,0.0,0,5004
4321,-2.20,-2.06,-2.20,0.0,0.0,0.0,0,5000
4340,-2.13,-2.06,-2.23,0.0,0.0,0.0,0,5004
4361,-1.99,-2.05,-2.14,0.0,0.0,0.0,0,5004
4380,-2.11,-2.05,-2.20,0.0,0.0,0.0,0,5004
4401,-2.08,-2.05,-2.18,0.0,0.0,0.0,0,5000
4420,-1.87,-2.04,-2.20,0.0,0.0,0.0,0,5000
4441,-2.08,-2.04,-2.14,0.0,0.0,0.0,0,5000
4460,-2.15,-2.04,-2.31,0.0,0.0,0.0,0,5004
4481,-2.11,-2.05,-2.15,0.0,0.0,0.0,0,5004
4500,-2.09,-2.03,-2.15,0.0,0.0,0.0,0,5000
4520,-2.18,-2.04,-2.17,0.0,0.0,0.0,0,5004
4540,-1.95,-2.03,-2.17,0.0,0.0,0.0,0,5000
4560,-1.95,-2.03,-2.15,0.0,0.0,0.0,0,5004
4581,-1.89,-2.03,-2.23,0.0,0.0,0.0,0,5000
4600,-2.14,-2.03,-2.26,0.0,0.0,0.0,0,5000
4621,-2.15,-2.04,-2.23,0.0,0.0,0.0,0,5000
4640,-2.13,-2.05,-2.23,0.0,0.0,0.0,0,5000
4661,-2.03,-2.05,-2.21,0.0,0.0,0.0,0,5004
4680,-2.19,-2.07,-2.21,0.0,0.0,0.0,0,5004
4701,-1.99,-2.06,-2.20,0.0,0.0,0.0,0,5004
4720,-2.10,-2.06,-2.24,0.0,0.0,0.0,0,5000
4741,-2.05,-2.06,-2.18,0.0,0.0,0.0,0,5004
4760,-2.09,-2.06,-2.17,0.0,0.0,0.0,0,5000
4781,-2.06,-2.06,-2.21,0.0,0.0,0.0,0,5004
4800,-2.05,-2.06,-2.23,0.0,0.0,0.0,0,5004
4820,-1.94,-2.05,-2.21,0.0,0.0,0.0,0,5000
4841,-1.94,-2.04,-2.17,0.0,0.0,0.0,0,5004
4860,-2.20,-2.04,-2.20,0.0,0.0,0.0,0,5000
4881,-2.00,-2.04,-2.15,0.0,0.0,0.0,0,5004
4900,-1.91,-2.03,-2.14,0.0,0.0,0.0,0,5004
4921,-1.94,-2.03,-2.23,0.0,0.0,0.0,0,5000
4940,-1.98,-2.03,-2.11,0.0,0.0,0.0,0,5000
4961,-1.83,-2.02,-2.12,0.0,0.0,0.0,0,5000
4980,-2.15,-2.02,-2.20,0.0,0.0,0.0,0,5000
5001,-2.13,-2.03,-2.12,0.0,0.0,0.0,0,5000
5020,-2.12,-2.03,-2.23,0.0,0.0,0.0,0,5000
5041,-2.02,-2.02,-2.20,0.0,0.0,0.0,0,5004
5060,-2.15,-2.02,-2.17,0.0,0.0,0.0,0,5004
5081,-2.07,-2.03,-2.21,0.0,0.0,0.0,0,5000
5101,-2.13,-2.02,-2.20,0.0,0.0,0.0,0,5000
5121,-2.01,-2.02,-2.14,0.0,0.0,0.0,0,5004
5141,-2.06,-2.03,-2.14,0.0,0.0,0.0,0,5000
5160,-2.09,-2.03,-2.20,0.0,0.0,0.0,0,5004
5181,-1.91,-2.03,-2.24,0.0,0.0,0.0,0,5004
5200,-2.02,-2.02,-2.15,0.0,0.0,0.0,0,5004
5221,-2.11,-2.02,-2.20,0.0,0.0,0.0,0,5004
5240,-2.11,-2.02,-2.15,0.0,0.0,0.0,0,5000
5261,-2.05,-2.02,-2.18,0.0,0.0,0.0,0,5004
5280,-2.02,-2.03,-2.17,0.0,0.0,0.0,0,5000
5301,-2.22,-2.04,-2.15,0.0,0.0,0.0,0,5000
5320,-2.05,-2.03,-2.26,0.0,0.0,0.0,0,5004
5341,-2.04,-2.03,-2.20,0.0,0.0,0.0,0,5000
5361,-1.92,-2.03,-2.17,0.0,0.0,0.0,0,5004
5381,-2.08,-2.03,-2.18,0.0,0.0,0.0,0,5000
5401,-2.11,-2.03,-2.24,0.0,0.0,0.0,0,5004
5421,-2.04,-2.04,-2.14,0.0,0.0,0.0,0,5000
5441,-1.88,-2.04,-2.18,0.0,0.0,0.0,0,5004
5460,-1.90,-2.04,-2.24,0.0,0.0,0.0,0,5000
5481,-1.90,-2.03,-2.18,0.0,0.0,0.0,0,5000
5500,-2.10,-2.03,-2.20,0.0,0.0,0.0,0,5004
5521,-2.16,-2.03,-2.20,0.0,0.0,0.0,0,5000
5540,-2.10,-2.03,-2.14,0.0,0.0,0.0,0,5004
5561,-1.96,-2.03,-2.23,0.0,0.0,0.0,0,5004
5580,-2.07,-2.04,-2.17,0.0,0.0,0.0,0,5000
5601,-1.94,-2.03,-2.12,0.0,0.0,0.0,0,5000
5621,-1.96,-2.03,-2.11,0.0,0.0,0.0,0,5004
5641,-2.14,-2.03,-2.15,0.0,0.0,0.0,0,5000
5661,-1.99,-2.03,-2.31,0.0,0.0,0.0,0,5004
5681,-2.00,-2.03,-2.15,0.0,0.0,0.0,0,5004
5701,-2.00,-2.03,-2.21,0.0,0.0,0.0,0,5004
5721,-1.92,-2.02,-2.17,0.0,0.0,0.0,0,5000
5741,-2.09,-2.02,-2.12,0.0,0.0,0.0,0,5004
5761,-1.95,-2.02,-2.11,0.0,0.0,0.0,0,5000
5781,-1.90,-2.02,-2.21,0.0,0.0,0.0,0,5000
5800,-2.16,-2.02,-2.09,0.0,0.0,0.0,0,5000
5821,-2.14,-2.03,-2.21,0.0,0.0,0.0,0,5004
5840,-2.10,-2.02,-2.21,0.0,0.0,0.0,0,5000
5861,-1.97,-2.02,-2.17,0.0,0.0,0.0,0,5000
5881,-2.04,-2.02,-2.24,0.0,0.0,0.0,0,5000
5901,-2.01,-2.03,-2.17,0.0,0.0,0.0,0,5004
5921,-2.02,-2.03,-2.14,0.0,0.0,0.0,0,5000
5941,-2.22,-2.04,-2.17,0.0,0.0,0.0,0,5004
5961,-1.96,-2.03,-2.15,0.0,0.0,0.0,0,5004
5981,-2.25,-2.04,-2.14,0.0,0.0,0.0,0,5004
6001,-2.10,-2.03,-2.20,0.0,0.0,0.0,0,5000
6021,-1.95,-2.03,-2.18,0.0,0.0,0.0,0,5004
6041,-2.16,-2.03,-2.27,0.0,0.0,0.0,0,5004
6061,-2.15,-2.04,-2.21,0.0,0.0,0.0,0,5004
6081,-1.96,-2.03,-2.15,0.0,0.0,0.0,0,5000
6102,-2.07,-2.03,-2.18,0.0,0.0,0.0,0,5004
6121,-2.09,-2.04,-2.21,0.0,0.0,0.0,0,5004
6141,-2.09,-2.04,-2.12,0.0,0.0,0.0,0,5004
6161,-1.92,-2.04,-2.17,0.0,0.0,0.0,0,5000
6181,-2.03,-2.03,-2.11,0.0,0.0,0.0,0,5004
6201,-2.07,-2.04,-2.15,0.0,0.0,0.0,0,5004
6221,-2.08,-2.04,-2.20,0.0,0.0,0.0,0,5004
6241,-1.96,-2.04,-2.17,0.0,0.0,0.0,0,5000
6261,-1.85,-2.03,-2.15,0.0,0.0,0.0,0,5004
6281,-2.05,-2.03,-2.09,0.0,0.0,0.0,0,5004
6301,-1.93,-2.03,-2.20,0.0,0.0,0.0,0,5000
6321,-2.04,-2.02,-2.18,0.0,0.0,0.0,0,5000
6341,-2.01,-2.02,-2.15,0.0,0.0,0.0,0,5000
6362,-2.16,-2.03,-2.15,0.0,0.0,0.0,0,5004
6381,-2.07,-2.04,-2.15,0.0,0.0,0.0,0,5000
6402,-2.07,-2.05,-2.24,0.0,0.0,0.0,0,5004
6421,-2.03,-2.04,-2.12,0.0,0.0,0.0,0,5000
6441,-2.11,-2.05,-2.20,0.0,0.0,0.0,0,5000
6461,-1.96,-2.04,-2.27,0.0,0.0,0.0,0,5004
6481,-2.12,-2.04,-2.20,0.0,0.0,0.0,0,5000
6501,-2.05,-2.05,-2.18,0.0,0.0,0.0,0,5000
6521,-2.21,-2.05,-2.18,0.0,0.0,0.0,0,5000
6541,-2.01,-2.05,-2.18,0.0,0.0,0.0,0,5004
6561,-2.05,-2.05,-2.14,0.0,0.0,0.0,0,5004
6581,-2.08,-2.05,-2.17,0.0,0.0,0.0,0,5004
6601,-2.09,-2.05,-2.23,0.0,0.0,0.0,0,5000
6622,-2.07,-2.05,-2.21,0.0,0.0,0.0,0,5000
6641,-2.23,-2.05,-2.21,0.0,0.0,0.0,0,5000
6662,-1.98,-2.05,-2.21,0.0,0.0,0.0,0,5004
6681,-2.15,-2.05,-2.20,0.0,0.0,0.0,0,5004
6702,-2.01,-2.05,-2.21,0.0,0.0,0.0,0,5000
6721,-2.16,-2.06,-2.14,0.0,0.0,0.0,0,5004
6742,-2.11,-2.06,-2.14,0.0,0.0,0.0,0,5000
6761,-2.12,-2.06,-2.12,0.0,0.0,0.0,0,5004
6781,-2.10,-2.07,-2.15,0.0,0.0,0.0,0,5004
6801,-2.16,-2.07,-2.17,0.0,0.0,0.0,0,5004
6821,-1.95,-2.06,-2.09,0.0,0.0,0.0,0,5000
6841,-1.93,-2.06,-2.17,0.0,0.0,0.0,0,5004
6861,-2.16,-2.06,-2.23,0.0,0.0,0.0,0,5000
6882,-2.18,-2.07,-2.17,0.0,0.0,0.0,0,5004
6901,-1.92,-2.06,-2.18,0.0,0.0,0.0,0,5004
6922,-2.00,-2.06,-2.23,0.0,0.0,0.0,0,5000
6941,-2.09,-2.07,-2.24,0.0,0.0,0.0,0,5004
6962,-2.10,-2.07,-2.21,0.0,0.0,0.0,0,5004
6981,-2.00,-2.06,-2.24,0.0,0.0,0.0,0,5000
7002,-1.90,-2.06,-2.26,0.0,0.0,0.0,0,5000
7021,-2.07,-2.06,-2.17,0.0,0.0,0.0,0,5004
7042,-1.98,-2.06,-2.15,0.0,0.0,0.0,0,5004
7061,-2.00,-2.05,-2.17,0.0,0.0,0.0,0,5000
7081,-2.24,-2.06,-2.23,0.0,0.0,0.0,0,5000
7101,-1.98,-2.07,-2.15,0.0,0.0,0.0,0,5000
7121,-2.02,-2.06,-2.21,0.0,0.0,0.0,0,5004
7142,-1.94,-2.06,-2.18,0.0,0.0,0.0,0,5004
7161,-2.05,-2.06,-2.24,0.0,0.0,0.0,0,5000
7182,-1.91,-2.05,-2.20,0.0,0.0,0.0,0,5000
7201,-2.11,-2.04,-2.15,0.0,0.0,0.0,0,5000
7222,-1.88,-2.04,-2.27,0.0,0.0,0.0,0,5000
7241,-1.73,-2.03,-2.20,0.0,0.0,0.0,0,5004
7262,-2.01,-2.02,-2.18,0.0,0.0,0.0,0,5004
7281,-2.02,-2.01,-2.26,0.0,0.0,0.0,0,5004
7302,-2.00,-2.02,-2.29,0.0,0.0,0.0,0,5004
7321,-2.05,-2.02,-2.15,0.0,0.0,0.0,0,5000
7342,-2.16,-2.02,-2.20,0.0,0.0,0.0,0,5004
7361,-1.95,-2.02,-2.17,0.0,0.0,0.0,0,5004
7382,-2.05,-2.02,-2.17,0.0,0.0,0.0,0,5004
7402,-2.01,-2.02,-2.11,0.0,0.0,0.0,0,5000
7421,-2.00,-2.01,-2.12,0.0,0.0,0.0,0,5004
7442,-2.06,-2.01,-2.20,0.0,0.0,0.0,0,5004
7461,-2.14,-2.02,-2.18,0.0,0.0,0.0,0,5000
7482,-2.05,-2.02,-2.23,0.0,0.0,0.0,0,5000
7501,-1.85,-2.02,-2.18,0.0,0.0,0.0,0,5000
7522,-1.88,-2.02,-2.15,0.0,0.0,0.0,0,5004
7541,-1.85,-2.02,-2.12,0.0,0.0,0.0,0,5004
7562,-2.14,-2.01,-2.21,0.0,0.0,0.0,0,5000
7581,-2.08,-2.02,-2.23,0.0,0.0,0.0,0,5000
7602,-1.91,-2.01,-2.12,0.0,0.0,0.0,0,5004
7621,-1.83,-2.00,-2.15,0.0,0.0,0.0,0,5004
7642,-2.03,-2.00,-2.11,0.0,0.0,0.0,0,5000
7662,-2.09,-2.01,-2.18,0.0,0.0,0.0,0,5000
7682,-2.15,-2.01,-2.12,0.0,0.0,0.0,0,5000
7702,-2.09,-2.01,-2.21,0.0,0.0,0.0,0,5000
7721,-2.18,-2.02,-2.15,0.0,0.0,0.0,0,5004
7742,-1.86,-2.02,-2.11,0.0,0.0,0.0,0,5000
7761,-2.02,-2.02,-2.21,0.0,0.0,0.0,0,5004
7782,-1.88,-2.01,-2.21,0.0,0.0,0.0,0,5004
7801,-2.18,-2.01,-2.17,0.0,0.0,0.0,0,5000
7822,-1.92,-2.01,-2.17,0.0,0.0,0.0,0,5000
7841,-2.05,-2.01,-2.18,0.0,0.0,0.0,0,5004
7862,-1.92,-2.00,-2.14,0.0,0.0,0.0,0,5004
7881,-2.09,-2.01,-2.20,0.0,0.0,0.0,0,5000
7902,-2.08,-2.02,-2.15,0.0,0.0,0.0,0,5004
7922,-2.04,-2.02,-2.21,0.0,0.0,0.0,0,5004
7942,-2.06,-2.02,-2.24,0.0,0.0,0.0,0,5000
7962,-2.13,-2.02,-2.21,0.0,0.0,0.0,0,5000
7982,-2.01,-2.02,-2.20,0.0,0.0,0.0,0,5004
8002,-2.08,-2.02,-2.15,0.0,0.0,0.0,0,5000
8022,-1.94,-2.02,-2.14,0.0,0.0,0.0,0,5000
8042,-2.07,-2.01,-2.18,0.0,0.0,0.0,0,5000
8061,-2.16,-2.02,-2.18,0.0,0.0,0.0,0,5004
8082,-1.84,-2.01,-2.18,0.0,0.0,0.0,0,5004
8101,-2.07,-2.01,-2.18,0.0,0.0,0.0,0,5004
8122,-1.97,-2.01,-2.14,0.0,0.0,0.0,0,5004
8141,-2.12,-2.01,-2.12,0.0,0.0,0.0,0,5004
8162,-2.09,-2.01,-2.18,0.0,0.0,0.0,0,5000
8182,-1.96,-2.01,-2.15,0.0,0.0,0.0,0,5004
8202,-2.05,-2.01,-2.26,0.0,0.0,0.0,0,5004
8222,-1.97,-2.01,-2.20,0.0,0.0,0.0,0,5000
8242,-2.11,-2.02,-2.17,0.0,0.0,0.0,0,5004
8262,-1.92,-2.02,-2.20,0.0,0.0,0.0,0,5000
8282,-2.01,-2.01,-2.14,0.0,0.0,0.0,0,5004
8302,-1.97,-2.02,-2.12,0.0,0.0,0.0,0,5004
8322,-2.12,-2.03,-2.11,0.0,0.0,0.0,0,5004
8342,-1.87,-2.03,-2.15,0.0,0.0,0.0,0,5004
8361,-1.93,-2.02,-2.14,0.0,0.0,0.0,0,5004
8382,-2.09,-2.03,-2.17,0.0,0.0,0.0,0,5000
8401,-1.95,-2.03,-2.17,0.0,0.0,0.0,0,5004
8422,-2.05,-2.03,-2.17,0.0,0.0,0.0,0,5004
8442,-1.89,-2.03,-2.20,0.0,0.0,0.0,0,5004
8462,-2.27,-2.03,-2.11,0.0,0.0,0.0,0,5000
8482,-2.06,-2.04,-2.17,0.0,0.0,0.0,0,5004
8502,-2.15,-2.04,-2.14,0.0,0.0,0.0,0,5000
8522,-2.11,-2.04,-2.12,0.0,0.0,0.0,0,5000
8542,-1.99,-2.04,-2.20,0.0,0.0,0.0,0,5004
8562,-2.11,-2.04,-2.23,0.0,0.0,0.0,0,5000
8582,-1.95,-2.04,-2.11,0.0,0.0,0.0,0,5004
8602,-2.13,-2.04,-2.20,0.0,0.0,0.0,0,5000
8622,-2.11,-2.05,-2.21,0.0,0.0,0.0,0,5004
8642,-1.85,-2.05,-2.26,0.0,0.0,0.0,0,5000
8662,-2.02,-2.04,-2.21,0.0,0.0,0.0,0,5004
8682,-1.84,-2.03,-2.20,0.0,0.0,0.0,0,5000
8702,-2.01,-2.03,-2.21,0.0,0.0,0.0,0,5000
8722,-2.04,-2.04,-2.18,0.0,0.0,0.0,0,5000
8742,-1.97,-2.04,-2.15,0.0,0.0,0.0,0,5004
8762,-2.00,-2.04,-2.21,0.0,0.0,0.0,0,5000
8782,-2.01,-2.04,-2.23,0.0,0.0,0.0,0,5000
8802,-1.97,-2.04,-2.17,0.0,0.0,0.0,0,5000
8822,-2.03,-2.04,-2.27,0.0,0.0,0.0,0,5008
8842,-2.07,-2.04,-2.23,0.0,0.0,0.0,0,5004
8862,-2.05,-2.04,-2.09,0.0,0.0,0.0,0,5004
8882,-1.98,-2.04,-2.11,0.0,0.0,0.0,0,5004
8902,-2.25,-2.05,-2.21,0.0,0.0,0.0,0,5000
8922,-2.19,-2.06,-2.11,0.0,0.0,0.0,0,5004
8942,-1.98,-2.05,-2.15,0.0,0.0,0.0,0,5004
8963,-1.89,-2.04,-2.17,0.0,0.0,0.0,0,5004
8982,-1.93,-2.04,-2.17,0.0,0.0,0.0,0,5004
9003,-2.11,-2.05,-2.23,0.0,0.0,0.0,0,5004
9022,-2.20,-2.05,-2.20,0.0,0.0,0.0,0,5000
9042,-2.08,-2.05,-2.21,0.0,0.0,0.0,0,5004
9062,-2.28,-2.07,-2.15,0.0,0.0,0.0,0,5000
9082,-1.93,-2.07,-2.24,0.0,0.0,0.0,0,5000
9102,-2.18,-2.06,-2.26,0.0,0.0,0.0,0,5000
9122,-2.23,-2.07,-2.18,0.0,0.0,0.0,0,5004
9142,-2.01,-2.07,-2.24,0.0,0.0,0.0,0,5000
9162,-1.99,-2.07,-2.18,0.0,0.0,0.0,0,5000
9182,-2.08,-2.08,-2.14,0.0,0.0,0.0,0,5000
9202,-2.08,-2.07,-2.20,0.0,0.0,0.0,0,5004
9223,-2.27,-2.07,-2.15,0.0,0.0,0.0,0,5004
9242,-2.04,-2.07,-2.18,0.0,0.0,0.0,0,5000
9263,-2.17,-2.07,-2.24,0.0,0.0,0.0,0,5000
9282,-2.16,-2.07,-2.24,0.0,0.0,0.0,0,5000
9303,-2.07,-2.06,-2.15,0.0,0.0,0.0,0,5004
9322,-2.02,-2.06,-2.24,0.0,0.0,0.0,0,5004
9342,-2.13,-2.06,-2.17,0.0,0.0,0.0,0,5000
