# trial: trial_050.csv
# date: 2026-08-01T22:35:02
# note: yaw scale repeatability: 720deg left pivot #2
# self-balancing-robot fw3 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
# vp=0.080 vi=0.040 yp=2.00 k=0.2350
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
1861,1.89,1.78,11.78,0.0,0.0,0.0,0,5000,0.29,19.10,0.00,0.0,0.0,0.0,0.4
1883,3.07,2.03,11.56,0.0,0.0,0.0,0,5004,0.51,19.71,0.00,0.0,0.0,0.0,0.8
1904,2.46,2.31,13.41,0.0,0.0,0.0,0,5000,0.39,23.83,0.00,0.0,0.0,0.0,1.3
1926,2.06,2.58,11.17,0.0,0.0,0.0,0,5000,0.12,24.62,0.00,0.0,0.0,0.0,1.8
1947,2.55,2.76,7.15,0.0,0.0,0.0,0,5004,0.63,21.32,0.00,0.0,0.0,0.0,2.3
1969,2.27,2.87,3.87,0.0,0.0,0.0,0,5004,0.65,20.20,0.00,0.0,0.0,0.0,2.7
1990,3.13,2.94,2.79,0.0,0.0,0.0,0,5000,0.73,21.63,0.00,0.0,0.0,0.0,3.2
2012,3.32,3.01,3.02,0.0,0.0,0.0,0,5000,0.53,23.05,0.00,0.0,0.0,0.0,3.7
2033,3.08,3.08,3.77,0.0,0.0,0.0,0,5004,0.79,25.85,0.00,0.0,0.0,0.0,4.2
2055,2.20,3.16,3.57,0.0,0.0,0.0,0,5004,0.37,27.54,0.00,0.0,0.0,0.0,4.8
2075,2.02,3.17,0.53,0.0,0.0,0.0,0,5000,0.55,27.44,0.00,0.0,0.0,0.0,5.4
2097,2.22,3.06,-4.38,0.0,0.0,0.0,0,5004,0.61,24.36,0.00,0.0,0.0,0.0,5.9
2118,3.04,2.94,-4.32,0.0,0.0,0.0,0,5004,0.41,23.40,0.00,0.0,0.0,0.0,6.4
2140,2.91,2.95,1.35,0.0,0.0,0.0,0,5000,0.90,24.87,0.00,0.0,0.0,0.0,7.0
2161,1.45,2.90,-1.41,0.0,0.0,0.0,0,5000,0.35,25.23,0.00,0.0,0.0,0.0,7.5
2183,0.29,2.77,-5.32,0.0,0.0,0.0,0,5000,0.53,24.77,0.00,0.0,0.0,0.0,8.0
2204,2.08,2.58,-8.54,0.0,0.0,0.0,0,5004,0.22,25.01,0.00,0.0,0.0,0.0,8.5
2226,1.98,2.40,-9.85,0.0,0.0,0.0,0,5000,0.12,24.30,0.00,0.0,0.0,0.0,9.1
2247,1.19,2.13,-12.13,0.0,0.0,0.0,0,5000,0.16,23.89,0.00,0.0,0.0,0.0,9.6
2269,1.32,1.78,-14.70,0.0,0.0,0.0,0,5000,-0.51,21.52,0.00,0.0,0.0,0.0,10.1
2290,1.29,1.39,-16.51,0.0,0.0,0.0,0,5000,-0.51,25.64,0.00,0.0,0.0,0.0,10.6
2312,0.55,1.07,-13.70,0.0,0.0,0.0,0,5000,-0.71,30.00,0.00,0.0,0.0,0.0,11.2
2333,2.11,0.78,-12.60,0.0,0.0,0.0,0,5000,-0.53,29.51,0.00,0.0,0.0,0.0,11.8
2355,2.21,0.69,-7.79,0.0,0.0,0.0,0,5000,-0.47,24.95,0.00,0.0,0.0,0.0,12.4
2376,-0.79,0.46,-9.60,0.0,0.0,0.0,0,5004,-0.79,24.56,0.00,0.0,0.0,0.0,12.9
2398,0.50,0.22,-9.46,0.0,0.0,0.0,0,5000,-0.90,24.30,0.00,0.0,0.0,0.0,13.5
2419,0.15,0.12,-4.50,0.0,0.0,0.0,0,5000,-0.94,26.66,0.00,0.0,0.0,0.0,14.0
2441,0.34,0.06,-0.53,0.0,0.0,0.0,0,5000,-0.92,28.76,0.00,0.0,0.0,0.0,14.6
2462,0.53,0.15,5.93,0.0,0.0,0.0,0,5004,-0.96,27.95,0.00,0.0,0.0,0.0,15.2
2484,0.20,0.37,11.15,0.0,0.0,0.0,0,5000,-0.79,27.21,0.00,0.0,0.0,0.0,15.8
2505,0.76,0.61,11.25,0.0,0.0,0.0,0,5000,-0.20,29.72,0.00,0.0,0.0,0.0,16.4
2527,0.78,0.94,14.27,0.0,0.0,0.0,0,5000,-0.14,30.64,0.00,0.0,0.0,0.0,17.1
2548,-0.68,1.11,10.60,0.0,0.0,0.0,0,5000,-0.26,26.87,0.00,0.0,0.0,0.0,17.7
2570,1.37,1.28,7.22,0.0,0.0,0.0,0,5004,0.39,24.34,0.00,0.0,0.0,0.0,18.3
2591,0.62,1.41,6.32,0.0,0.0,0.0,0,5004,0.33,27.05,0.00,0.0,0.0,0.0,18.8
2613,-0.94,1.36,0.61,0.0,0.0,0.0,0,5004,-0.59,26.01,0.00,0.0,0.0,0.0,19.4
2634,0.03,1.18,-7.05,0.0,0.0,0.0,0,5004,-0.49,24.46,0.00,0.0,0.0,0.0,19.9
2656,-0.10,0.84,-16.51,0.0,0.0,0.0,0,5004,-0.47,25.07,0.00,0.0,0.0,0.0,20.5
2677,-0.62,0.34,-22.83,0.0,0.0,0.0,0,5004,0.18,28.48,0.00,0.0,0.0,0.0,21.0
2699,-0.23,-0.28,-27.29,0.0,0.0,0.0,0,5004,0.31,27.09,0.00,0.0,0.0,0.0,21.6
2721,1.07,-0.78,-24.30,0.0,0.0,0.0,0,5000,-1.59,27.62,0.00,0.0,0.0,0.0,22.2
2743,-1.76,-1.26,-22.97,0.0,0.0,0.0,0,5000,-1.37,29.37,0.00,0.0,0.0,0.0,22.8
2764,-3.15,-1.83,-23.99,0.0,0.0,0.0,0,5000,-1.24,29.72,0.00,0.0,0.0,0.0,23.5
2786,-2.32,-2.45,-25.85,0.0,0.0,0.0,0,5000,-1.53,31.98,0.00,0.0,0.0,0.0,24.2
2807,-2.15,-2.81,-18.61,0.0,0.0,0.0,0,5004,-2.00,31.43,0.00,0.0,0.0,0.0,24.8
2829,-6.41,-3.49,-27.88,0.0,0.0,0.0,0,5004,-1.65,35.65,0.00,0.0,0.0,0.0,25.6
2850,-1.67,-4.07,-27.76,0.0,0.0,0.0,0,5000,-2.24,36.04,0.00,0.0,0.0,0.0,26.4
2872,-3.44,-4.49,-22.01,0.0,0.0,0.0,0,5000,-2.85,30.92,0.00,0.0,0.0,0.0,27.1
2893,-6.44,-5.05,-22.89,0.0,0.0,0.0,0,5000,-3.28,32.88,0.00,0.0,0.0,0.0,27.7
2915,-5.21,-5.60,-23.32,0.0,0.0,0.0,0,5000,-3.49,33.29,0.00,0.0,0.0,0.0,28.5
2936,-6.03,-6.05,-20.75,0.0,0.0,0.0,0,5000,-3.77,32.00,0.00,0.0,0.0,0.0,29.2
2958,-6.57,-6.56,-21.44,0.0,0.0,0.0,0,5004,-3.65,32.96,0.00,0.0,0.0,0.0,29.9
2980,-5.05,-6.85,-14.08,0.0,0.0,0.0,0,5004,-4.20,30.76,0.00,0.0,0.0,0.0,30.6
3002,-7.44,-7.03,-9.21,0.0,0.0,0.0,0,5000,-3.67,33.57,0.00,0.0,0.0,0.0,31.2
3023,-7.74,-7.22,-9.07,0.0,0.0,0.0,0,5004,-4.50,36.95,0.00,0.0,0.0,0.0,32.0
3045,-5.30,-7.20,-0.29,0.0,0.0,0.0,0,5004,-4.14,36.77,0.00,0.0,0.0,0.0,32.8
3066,-5.05,-6.85,13.72,0.0,0.0,0.0,0,5000,-4.18,37.18,0.00,0.0,0.0,0.0,33.6
3088,-6.76,-6.41,19.77,0.0,0.0,0.0,0,5000,-4.65,34.94,0.00,0.0,0.0,0.0,34.4
3109,-5.58,-5.97,19.83,0.0,0.0,0.0,0,5004,-3.77,36.28,0.00,0.0,0.0,0.0,35.2
3131,-7.60,-5.60,17.96,0.0,0.0,0.0,0,5004,-3.42,35.49,0.00,0.0,0.0,0.0,35.9
3152,-6.67,-5.35,14.88,0.0,0.0,0.0,0,5000,-3.06,30.70,0.00,0.0,0.0,0.0,36.7
3174,-7.08,-5.27,10.01,0.0,0.0,0.0,0,5000,-2.75,22.79,0.00,0.0,0.0,0.0,37.2
3195,-5.52,-5.21,4.71,0.0,0.0,0.0,0,5004,0.59,11.39,0.00,0.0,0.0,0.0,37.6
3217,-7.16,-5.37,1.98,0.0,0.0,0.0,0,5000,-1.59,4.63,0.00,0.0,0.0,0.0,37.7
3238,-5.88,-5.28,-0.59,0.0,0.0,0.0,0,5000,0.04,1.32,0.00,0.0,0.0,0.0,37.7
3260,-5.00,-5.31,-0.10,0.0,0.0,0.0,0,5004,0.86,-4.65,0.00,0.0,0.0,0.0,37.7
3281,-5.29,-5.34,-1.24,0.0,0.0,0.0,0,5000,2.83,-7.11,0.00,0.0,0.0,0.0,37.5
3303,-4.62,-5.35,-4.16,0.0,0.0,0.0,0,5000,-0.02,-1.22,0.00,0.0,0.0,0.0,37.5
3324,-6.82,-5.47,1.24,0.0,0.0,0.0,0,5004,1.61,-6.81,0.00,0.0,0.0,0.0,37.4
3346,-4.73,-5.45,-2.98,0.0,0.0,0.0,0,5000,-0.43,0.16,0.00,0.0,0.0,0.0,37.3
3367,-7.07,-5.57,1.49,0.0,0.0,0.0,0,5000,-0.18,-2.22,0.00,0.0,0.0,0.0,37.3
3389,-4.61,-5.50,2.63,0.0,0.0,0.0,0,5000,-0.06,-0.47,0.00,0.0,0.0,0.0,37.3
3410,-6.82,-5.52,3.02,0.0,0.0,0.0,0,5004,-0.06,-0.22,0.00,0.0,0.0,0.0,37.3
3432,-5.35,-5.47,5.58,0.0,0.0,0.0,0,5000,-0.37,-2.12,0.00,0.0,0.0,0.0,37.2
3453,-5.60,-5.35,6.58,0.0,0.0,0.0,0,5004,-0.49,0.06,0.00,0.0,0.0,0.0,37.2
3475,-4.73,-5.20,8.36,0.0,0.0,0.0,0,5004,0.10,-1.45,0.00,0.0,0.0,0.0,37.2
3496,-4.65,-5.00,7.22,0.0,0.0,0.0,0,5004,0.02,0.24,0.00,0.0,0.0,0.0,37.2
3518,-4.62,-4.84,6.77,0.0,0.0,0.0,0,5000,-0.35,-0.29,0.00,0.0,0.0,0.0,37.2
3539,-3.00,-4.68,4.38,0.0,0.0,0.0,0,5004,-0.08,-2.53,0.00,0.0,0.0,0.0,37.2
3561,-3.88,-4.53,1.53,0.0,0.0,0.0,0,5004,-0.33,0.24,0.00,0.0,0.0,0.0,37.1
3582,-4.24,-4.51,0.45,0.0,0.0,0.0,0,5000,0.29,-1.57,0.00,0.0,0.0,0.0,37.1
3604,-2.82,-4.46,-5.01,0.0,0.0,0.0,0,5000,0.06,-1.85,0.00,0.0,0.0,0.0,37.1
3625,-4.73,-4.59,-7.28,0.0,0.0,0.0,0,5000,0.10,-0.86,0.00,0.0,0.0,0.0,37.1
3647,-5.22,-4.74,-5.89,0.0,0.0,0.0,0,5004,-0.02,-0.16,0.00,0.0,0.0,0.0,37.0
3667,-5.41,-4.88,-4.26,0.0,0.0,0.0,0,5004,0.14,-2.22,0.00,0.0,0.0,0.0,37.0
3689,-5.34,-4.89,3.42,0.0,0.0,0.0,0,5000,-1.18,-5.54,0.00,0.0,0.0,0.0,36.9
3710,-4.48,-4.93,-1.47,0.0,0.0,0.0,0,5000,-0.06,0.06,0.00,0.0,0.0,0.0,36.9
3732,-5.87,-5.03,-2.51,0.0,0.0,0.0,0,5004,0.55,-0.96,0.00,0.0,0.0,0.0,36.9
3753,-5.42,-5.11,-0.37,0.0,0.0,0.0,0,5004,1.28,-3.95,0.00,0.0,0.0,0.0,36.8
3775,-2.65,-5.06,-4.69,0.0,0.0,0.0,0,5000,0.61,-3.55,0.00,0.0,0.0,0.0,36.7
3796,-6.75,-5.23,-6.24,0.0,0.0,0.0,0,5004,-3.16,3.32,0.00,0.0,0.0,0.0,36.7
3818,-7.33,-5.29,3.65,0.0,0.0,0.0,0,5004,0.39,-0.29,0.00,0.0,0.0,0.0,36.8
3840,-5.47,-5.25,2.89,0.0,0.0,0.0,0,5004,-0.63,0.61,0.00,0.0,0.0,0.0,36.7
3861,-4.78,-5.13,6.52,0.0,0.0,0.0,0,5004,-0.24,3.02,0.00,0.0,0.0,0.0,36.8
3883,-5.09,-5.04,4.22,0.0,0.0,0.0,0,5004,0.08,1.39,0.00,0.0,0.0,0.0,36.8
3904,-5.31,-4.97,2.16,0.0,0.0,0.0,0,5004,-0.45,0.82,0.00,0.0,0.0,0.0,36.9
3926,-7.02,-4.96,8.50,0.0,0.0,0.0,0,5004,0.24,0.88,0.00,0.0,0.0,0.0,36.9
3947,-4.10,-4.77,11.88,0.0,0.0,0.0,0,5004,-0.12,0.69,0.00,0.0,0.0,0.0,36.9
3969,-5.76,-4.54,13.76,0.0,0.0,0.0,0,5000,0.75,3.69,0.00,0.0,0.0,0.0,36.9
3990,-4.60,-4.31,17.81,0.0,0.0,0.0,0,5004,1.39,-2.41,0.00,0.0,0.0,0.0,37.0
4012,-0.68,-3.80,15.49,0.0,0.0,0.0,0,5004,0.14,-1.14,0.00,0.0,0.0,0.0,36.9
4033,-0.86,-3.34,6.22,0.0,0.0,0.0,0,5004,-0.14,0.31,0.00,0.0,0.0,0.0,36.9
4055,-2.95,-3.21,-0.08,0.0,0.0,0.0,0,5000,0.57,-0.22,0.00,0.0,0.0,0.0,36.9
4076,-2.20,-3.19,-2.36,0.0,0.0,0.0,0,5004,-0.14,1.28,0.00,0.0,0.0,0.0,36.9
4098,-3.09,-3.23,-3.38,0.0,0.0,0.0,0,5004,-1.18,3.83,0.00,0.0,0.0,0.0,37.0
4119,-3.69,-3.33,-2.55,0.0,0.0,0.0,0,5004,-0.71,2.26,0.00,0.0,0.0,0.0,37.1
4141,-2.59,-3.36,-3.73,0.0,0.0,0.0,0,5004,-0.55,1.22,0.00,0.0,0.0,0.0,37.1
4162,-4.48,-3.45,-5.75,0.0,0.0,0.0,0,5004,-0.57,2.24,0.00,0.0,0.0,0.0,37.1
4184,-5.72,-3.69,0.45,0.0,0.0,0.0,0,5000,0.08,1.18,0.00,0.0,0.0,0.0,37.2
4205,-2.54,-3.64,2.30,0.0,0.0,0.0,0,5004,0.26,0.82,0.00,0.0,0.0,0.0,37.2
4227,-4.20,-3.58,2.43,0.0,0.0,0.0,0,5000,-1.30,5.61,0.00,0.0,0.0,0.0,37.3
4248,-3.97,-3.54,6.26,0.0,0.0,0.0,0,5000,-1.26,3.51,0.00,0.0,0.0,0.0,37.4
4270,-2.16,-3.41,5.22,0.0,0.0,0.0,0,5000,-1.77,4.53,0.00,0.0,0.0,0.0,37.5
4291,-3.85,-3.31,4.24,0.0,0.0,0.0,0,5000,0.39,5.01,0.00,0.0,0.0,0.0,37.5
4313,-3.78,-3.20,6.14,0.0,0.0,0.0,0,5004,0.82,2.98,0.00,0.0,0.0,0.0,37.6
4334,-2.32,-3.07,3.63,0.0,0.0,0.0,0,5000,2.06,7.52,0.00,0.0,0.0,0.0,37.7
4356,-4.08,-3.01,-4.77,0.0,0.0,0.0,0,5004,-1.43,17.06,0.00,0.0,0.0,0.0,38.0
4377,6.00,-2.74,0.86,0.0,0.0,0.0,0,5000,-4.48,56.36,0.00,0.0,0.0,0.0,39.0
4399,2.41,-2.15,4.16,0.0,0.0,0.0,0,5004,-2.65,45.33,0.00,0.0,0.0,0.0,40.0
4420,-3.91,-2.01,4.20,0.0,0.0,0.0,0,5000,-3.97,47.96,0.00,0.0,0.0,0.0,41.0
4442,-5.64,-2.38,-5.58,0.0,0.0,0.0,0,5004,-1.53,38.30,0.00,0.0,0.0,0.0,42.0
4463,-4.40,-2.61,-4.20,0.0,0.0,0.0,0,5000,-1.61,31.41,0.00,0.0,0.0,0.0,42.7
4485,-5.68,-2.91,-4.42,0.0,0.0,0.0,0,5004,-1.90,27.95,0.00,0.0,0.0,0.0,43.3
4506,-4.06,-3.07,0.61,0.0,0.0,0.0,0,5004,-1.37,26.19,0.00,0.0,0.0,0.0,43.9
4528,-5.15,-3.11,3.61,0.0,0.0,0.0,0,5000,-1.04,24.22,0.00,0.0,0.0,0.0,44.4
4549,-5.16,-3.14,7.79,0.0,0.0,0.0,0,5000,-1.51,24.07,0.00,0.0,0.0,0.0,44.9
4571,-7.69,-3.21,6.77,0.0,0.0,0.0,0,5004,-1.26,27.50,0.00,0.0,0.0,0.0,45.5
4592,-3.72,-3.24,6.91,0.0,0.0,0.0,0,5004,-0.94,24.34,0.00,0.0,0.0,0.0,46.1
4614,-1.88,-3.08,3.85,0.0,0.0,0.0,0,5000,-0.90,25.68,0.00,0.0,0.0,0.0,46.6
4635,-7.14,-3.31,-7.34,0.0,0.0,0.0,0,5000,-2.43,29.54,0.00,0.0,0.0,0.0,47.2
4657,-4.63,-3.85,-18.81,0.0,0.0,0.0,0,5004,-2.45,38.79,0.00,0.0,0.0,0.0,47.9
4678,-2.92,-4.26,-19.32,0.0,0.0,0.0,0,5000,-3.38,43.40,0.00,0.0,0.0,0.0,48.9
4700,-6.31,-4.74,-19.83,0.0,0.0,0.0,0,5004,-3.85,47.62,0.00,0.0,0.0,0.0,49.8
4721,-3.98,-5.08,-16.23,0.0,0.0,0.0,0,5004,-2.83,48.37,0.00,0.0,0.0,0.0,50.9
4743,-0.83,-5.29,-15.41,0.0,0.0,0.0,0,5000,-2.36,48.23,0.00,0.0,0.0,0.0,51.9
4764,1.36,-4.90,0.16,0.0,0.0,0.0,0,5004,-2.96,40.71,0.00,0.0,0.0,0.0,52.9
4786,-3.80,-4.53,7.79,0.0,0.0,0.0,0,5000,-2.91,30.19,0.00,0.0,0.0,0.0,53.6
4807,-2.97,-4.20,12.62,0.0,0.0,0.0,0,5004,-2.55,29.49,0.00,0.0,0.0,0.0,54.2
4830,-4.81,-3.96,16.71,0.0,0.0,0.0,0,5000,-2.28,31.59,0.00,0.0,0.0,0.0,54.9
4851,-4.74,-3.60,14.45,0.0,0.0,0.0,0,5000,-2.67,31.59,0.00,0.0,0.0,0.0,55.6
4873,-4.47,-3.37,14.70,0.0,0.0,0.0,0,5000,-1.85,30.94,0.00,0.0,0.0,0.0,56.3
4894,-5.15,-3.26,12.11,0.0,0.0,0.0,0,5004,-1.37,27.84,0.00,0.0,0.0,0.0,56.9
4916,-5.81,-3.26,9.68,0.0,0.0,0.0,0,5000,-0.94,32.47,0.00,0.0,0.0,0.0,57.6
4937,-3.93,-3.19,4.34,0.0,0.0,0.0,0,5000,-2.75,29.66,0.00,0.0,0.0,0.0,58.2
4959,0.01,-2.86,8.09,0.0,0.0,0.0,0,5000,-0.59,28.33,0.00,0.0,0.0,0.0,58.9
4980,-5.09,-2.83,6.22,0.0,0.0,0.0,0,5000,-0.98,33.41,0.00,0.0,0.0,0.0,59.5
5002,-5.20,-2.88,0.82,0.0,0.0,0.0,0,5000,-2.47,39.24,0.00,0.0,0.0,0.0,60.3
5023,-5.09,-3.07,-5.71,0.0,0.0,0.0,0,5000,-3.75,38.83,0.00,0.0,0.0,0.0,61.2
5045,-6.88,-3.47,-10.03,0.0,0.0,0.0,0,5000,-2.22,44.78,0.00,0.0,0.0,0.0,62.1
5066,-4.94,-4.00,-18.20,0.0,0.0,0.0,0,5004,-2.79,51.65,0.00,0.0,0.0,0.0,63.1
5088,-3.82,-4.63,-27.68,0.0,0.0,0.0,0,5000,-3.61,53.00,0.00,0.0,0.0,0.0,64.3
5109,-1.44,-5.05,-26.21,0.0,0.0,0.0,0,5004,-3.87,50.88,0.00,0.0,0.0,0.0,65.4
5131,0.43,-5.07,-13.74,0.0,0.0,0.0,0,5004,-3.12,46.41,0.00,0.0,0.0,0.0,66.4
5152,-4.60,-4.90,-0.20,0.0,0.0,0.0,0,5004,-2.41,38.48,0.00,0.0,0.0,0.0,67.3
5174,-4.08,-4.77,7.89,0.0,0.0,0.0,0,5000,-2.94,39.34,0.00,0.0,0.0,0.0,68.1
5195,-4.04,-4.48,13.74,0.0,0.0,0.0,0,5000,-3.69,41.74,0.00,0.0,0.0,0.0,69.0
5218,-3.28,-3.96,19.14,0.0,0.0,0.0,0,5000,-2.75,41.19,0.00,0.0,0.0,0.0,69.9
5239,-5.04,-3.68,19.04,0.0,0.0,0.0,0,5000,-2.28,38.01,0.00,0.0,0.0,0.0,70.7
5261,-4.02,-3.36,18.26,0.0,0.0,0.0,0,5000,-2.51,38.36,0.00,0.0,0.0,0.0,71.6
5282,-4.34,-3.07,15.21,0.0,0.0,0.0,0,5004,-2.77,37.12,0.00,0.0,0.0,0.0,72.4
5304,-1.86,-2.82,13.15,0.0,0.0,0.0,0,5004,-2.14,34.83,0.00,0.0,0.0,0.0,73.2
5325,-4.79,-2.51,16.41,0.0,0.0,0.0,0,5004,-2.59,35.53,0.00,0.0,0.0,0.0,73.9
5347,-2.69,-2.25,17.96,0.0,0.0,0.0,0,5000,-1.37,35.57,0.00,0.0,0.0,0.0,74.7
5368,-2.60,-1.87,18.98,0.0,0.0,0.0,0,5000,-1.57,36.61,0.00,0.0,0.0,0.0,75.5
5390,-2.30,-1.57,15.59,0.0,0.0,0.0,0,5000,-1.10,34.59,0.00,0.0,0.0,0.0,76.2
5411,-1.71,-1.30,13.70,0.0,0.0,0.0,0,5000,-0.57,33.20,0.00,0.0,0.0,0.0,77.0
5433,-2.87,-1.11,11.54,0.0,0.0,0.0,0,5000,-0.63,31.27,0.00,0.0,0.0,0.0,77.7
5454,-3.96,-1.19,3.02,0.0,0.0,0.0,0,5000,-1.28,28.82,0.00,0.0,0.0,0.0,78.3
5476,0.10,-1.25,-0.86,0.0,0.0,0.0,0,5004,-0.41,33.35,0.00,0.0,0.0,0.0,79.0
5498,0.39,-1.19,0.12,0.0,0.0,0.0,0,5000,-0.37,35.53,0.00,0.0,0.0,0.0,79.7
5520,0.35,-0.96,6.67,0.0,0.0,0.0,0,5004,-0.53,32.98,0.00,0.0,0.0,0.0,80.5
5541,-1.51,-0.88,5.54,0.0,0.0,0.0,0,5000,-0.24,33.39,0.00,0.0,0.0,0.0,81.2
5563,0.72,-0.64,7.20,0.0,0.0,0.0,0,5000,-0.61,36.12,0.00,0.0,0.0,0.0,82.0
5584,-0.15,-0.40,10.46,0.0,0.0,0.0,0,5004,-0.47,34.33,0.00,0.0,0.0,0.0,82.7
5606,-1.03,-0.20,11.03,0.0,0.0,0.0,0,5000,-0.67,37.89,0.00,0.0,0.0,0.0,83.5
5627,0.64,0.05,9.58,0.0,0.0,0.0,0,5004,-0.26,38.52,0.00,0.0,0.0,0.0,84.3
5649,-0.09,0.21,8.72,0.0,0.0,0.0,0,5000,-0.02,40.64,0.00,0.0,0.0,0.0,85.2
5670,-0.82,0.35,9.19,0.0,0.0,0.0,0,5000,-1.02,42.87,0.00,0.0,0.0,0.0,86.1
5692,-1.80,0.32,4.02,0.0,0.0,0.0,0,5004,-0.12,41.09,0.00,0.0,0.0,0.0,87.0
5713,-3.54,0.02,-2.57,0.0,0.0,0.0,0,5000,-0.77,41.72,0.00,0.0,0.0,0.0,87.9
5735,-3.49,-0.41,-12.13,0.0,0.0,0.0,0,5000,-0.73,41.87,0.00,0.0,0.0,0.0,88.8
5756,0.42,-0.79,-16.31,0.0,0.0,0.0,0,5000,0.10,42.97,0.00,0.0,0.0,0.0,89.7
5778,-4.27,-1.33,-19.12,0.0,0.0,0.0,0,5000,-1.47,46.37,0.00,0.0,0.0,0.0,90.7
5799,-5.72,-2.04,-25.93,0.0,0.0,0.0,0,5004,-2.00,51.45,0.00,0.0,0.0,0.0,91.7
5821,-1.89,-2.65,-26.44,0.0,0.0,0.0,0,5000,-2.02,53.59,0.00,0.0,0.0,0.0,92.9
5842,-5.62,-3.30,-27.05,0.0,0.0,0.0,0,5004,-1.77,56.07,0.00,0.0,0.0,0.0,94.0
5864,-1.29,-3.80,-22.91,0.0,0.0,0.0,0,5000,-2.81,56.36,0.00,0.0,0.0,0.0,95.3
5885,3.53,-3.53,-6.34,0.0,0.0,0.0,0,5004,-2.24,51.02,0.00,0.0,0.0,0.0,96.5
5907,0.53,-2.94,10.82,0.0,0.0,0.0,0,5000,-0.98,35.63,0.00,0.0,0.0,0.0,97.4
5928,-2.30,-2.56,14.47,0.0,0.0,0.0,0,5000,-0.96,28.60,0.00,0.0,0.0,0.0,98.1
5950,-2.98,-2.34,13.60,0.0,0.0,0.0,0,5004,-1.26,28.21,0.00,0.0,0.0,0.0,98.6
5972,-3.69,-2.17,12.90,0.0,0.0,0.0,0,5000,-2.12,29.60,0.00,0.0,0.0,0.0,99.3
5994,-1.15,-1.88,14.17,0.0,0.0,0.0,0,5004,-1.24,32.74,0.00,0.0,0.0,0.0,100.0
6016,-0.95,-1.51,16.96,0.0,0.0,0.0,0,5000,-0.98,36.73,0.00,0.0,0.0,0.0,100.7
6037,-2.82,-1.17,16.27,0.0,0.0,0.0,0,5004,-0.57,32.47,0.00,0.0,0.0,0.0,101.5
6059,-2.87,-1.03,11.76,0.0,0.0,0.0,0,5000,-0.65,27.99,0.00,0.0,0.0,0.0,102.1
6080,-1.89,-0.98,6.83,0.0,0.0,0.0,0,5004,-0.51,23.03,0.00,0.0,0.0,0.0,102.6
6102,-3.66,-1.05,1.37,0.0,0.0,0.0,0,5004,-0.98,24.50,0.00,0.0,0.0,0.0,103.2
6123,-4.80,-1.40,-4.38,0.0,0.0,0.0,0,5000,-0.96,36.32,0.00,0.0,0.0,0.0,103.8
6145,-1.02,-1.61,-6.18,0.0,0.0,0.0,0,5000,-0.88,42.56,0.00,0.0,0.0,0.0,104.7
6167,-0.38,-1.61,-2.30,0.0,0.0,0.0,0,5000,-0.51,39.87,0.00,0.0,0.0,0.0,105.6
6189,-0.28,-1.53,0.08,0.0,0.0,0.0,0,5000,-0.45,35.81,0.00,0.0,0.0,0.0,106.4
6210,-3.38,-1.71,-4.69,0.0,0.0,0.0,0,5000,-0.55,39.05,0.00,0.0,0.0,0.0,107.2
6232,-2.39,-2.10,-11.11,0.0,0.0,0.0,0,5012,-2.41,52.71,0.00,0.0,0.0,0.0,108.2
6253,-0.86,-2.16,-8.09,0.0,0.0,0.0,0,5004,-1.57,48.59,0.00,0.0,0.0,0.0,109.3
6275,0.24,-2.13,-3.12,0.0,0.0,0.0,0,5000,-1.08,45.90,0.00,0.0,0.0,0.0,110.3
6296,0.98,-1.94,1.81,0.0,0.0,0.0,0,5000,-1.51,44.72,0.00,0.0,0.0,0.0,111.3
6318,-1.27,-1.68,8.11,0.0,0.0,0.0,0,5004,-0.90,39.36,0.00,0.0,0.0,0.0,112.2
6339,-2.38,-1.59,6.26,0.0,0.0,0.0,0,5000,-1.32,40.36,0.00,0.0,0.0,0.0,113.1
6362,-0.23,-1.39,8.40,0.0,0.0,0.0,0,5000,-0.57,43.19,0.00,0.0,0.0,0.0,114.0
6383,-0.01,-1.15,7.13,0.0,0.0,0.0,0,5000,-1.08,45.88,0.00,0.0,0.0,0.0,114.9
6405,0.59,-0.82,9.99,0.0,0.0,0.0,0,5000,-1.18,42.97,0.00,0.0,0.0,0.0,115.9
6426,-1.92,-0.69,8.44,0.0,0.0,0.0,0,5000,-0.73,41.66,0.00,0.0,0.0,0.0,116.8
6448,-6.38,-0.93,2.47,0.0,0.0,0.0,0,5008,-0.43,50.04,0.00,0.0,0.0,0.0,117.8
6469,-1.09,-1.08,-3.69,0.0,0.0,0.0,0,5004,-1.79,43.13,0.00,0.0,0.0,0.0,118.8
6491,-3.40,-1.19,-1.04,0.0,0.0,0.0,0,5004,0.08,47.45,0.00,0.0,0.0,0.0,119.8
6512,0.86,-1.36,-11.03,0.0,0.0,0.0,0,5004,-1.51,51.45,0.00,0.0,0.0,0.0,120.9
